Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,166.419998,167.619995,164.770004,165.460007,165.460007,223498
2011-02-01,165.300003,166.250000,164.300003,165.410004,165.410004,216702
2011-03-01,165.429993,167.089996,163.960007,164.270004,164.270004,427159
2011-04-01,164.210007,165.250000,163.770004,165.250000,165.250000,137496
2011-05-01,164.600006,167.300003,164.539993,166.940002,166.940002,189926
2011-06-01,166.729996,167.740005,165.800003,166.190002,166.190002,140856
2011-07-01,166.279999,166.759995,163.860001,166.070007,166.070007,183914
2011-08-01,166.210007,172.770004,165.570007,171.050003,171.050003,206835
2011-09-01,171.020004,173.229996,170.369995,172.559998,172.559998,243205
2011-10-01,172.839996,173.580002,168.240005,169.320007,169.320007,120687
2011-11-01,170.220001,170.220001,162.289993,164.919998,164.919998,182772
2011-12-01,165.259995,172.339996,165.059998,171.509995,171.509995,159055
2012-01-01,171.479996,174.929993,168.050003,174.929993,174.929993,228846
2012-02-01,175.089996,178.000000,175.000000,177.929993,177.929993,201921
2012-03-01,178.240005,179.520004,177.210007,177.839996,177.839996,140384
2012-04-01,178.600006,178.600006,175.919998,177.940002,177.940002,131091
2012-05-01,178.330002,180.759995,176.990005,179.910004,179.910004,194205
2012-06-01,180.119995,181.460007,175.960007,178.339996,178.339996,194913
2012-07-01,178.770004,181.779999,177.860001,181.529999,181.529999,318722
2012-08-01,181.610001,183.779999,181.050003,182.630005,182.630005,322231
2012-09-01,183.059998,185.080002,182.559998,185.050003,185.050003,218635
2012-10-01,185.039993,186.750000,184.500000,186.050003,186.050003,88168
2012-11-01,185.770004,189.190002,185.770004,188.750000,188.750000,152630
2012-12-01,189.220001,190.440002,188.440002,190.256256,190.256256,141790
2013-01-01,189.779999,190.550003,188.740005,189.039993,189.039993,211944
2013-02-01,189.350006,189.869995,188.199997,189.690002,189.690002,112382
2013-03-01,189.979996,191.690002,189.630005,190.860001,190.860001,76943
2013-04-01,191.110001,196.050003,190.869995,195.850006,195.850006,146656
2013-05-01,196.000000,197.020004,193.089996,193.259995,193.259995,163332
2013-06-01,193.350006,194.580002,188.100006,190.259995,190.259995,92698
2013-07-01,190.539993,193.800003,190.220001,191.910004,191.910004,98641
2013-08-01,193.399994,194.000000,190.000000,190.800003,190.800003,116280
2013-09-01,190.130005,192.490005,189.100006,192.350006,192.350006,153380
2013-10-01,192.259995,195.110001,190.259995,194.889999,194.889999,94072
2013-11-01,195.169998,195.649994,194.039993,195.479996,195.479996,156126
2013-12-01,195.669998,195.669998,193.720001,194.173889,194.173889,103101
2014-01-01,194.220001,198.630005,194.210007,198.619995,198.619995,117159
2014-02-01,198.759995,200.419998,198.119995,199.809998,199.809998,57647
2014-03-01,200.309998,202.690002,199.929993,201.630005,201.630005,115780
2014-04-01,201.539993,203.600006,200.899994,203.600006,203.600006,196503
2014-05-01,203.690002,206.740005,203.389999,205.399994,205.399994,166715
2014-06-01,205.509995,207.929993,204.720001,207.710007,207.710007,145834
2014-07-01,207.710007,210.229996,206.869995,209.649994,209.649994,160627
2014-08-01,209.490005,213.979996,209.000000,213.350006,213.350006,260349
2014-09-01,213.720001,213.759995,211.369995,213.720001,213.720001,314101
2014-10-01,213.720001,215.100006,212.529999,214.449997,214.449997,324096
2014-11-01,214.589996,217.139999,213.690002,217.130005,217.130005,325255
2014-12-01,217.199997,219.380005,216.610001,219.195984,219.195984,320716
2015-01-01,219.820007,224.839996,219.550003,224.490005,224.490005,316015
2015-02-01,224.679993,226.259995,223.429993,225.979996,225.979996,353585
2015-03-01,225.929993,230.289993,224.830002,228.679993,228.679993,199018
2015-04-01,228.580002,229.500000,224.050003,225.419998,225.419998,251956
2015-05-01,225.300003,225.300003,218.330002,221.970001,221.970001,267793
2015-06-01,222.050003,222.050003,214.529999,216.429993,216.429993,541704
2015-07-01,216.449997,221.270004,214.929993,221.270004,221.270004,325399
2015-08-01,221.100006,222.130005,218.729996,218.809998,218.809998,240634
2015-09-01,218.789993,221.910004,218.339996,221.649994,221.649994,117835
2015-10-01,221.610001,225.369995,221.419998,223.970001,223.970001,262928
2015-11-01,223.830002,225.419998,220.639999,224.850006,224.850006,171806
2015-12-01,224.639999,225.369995,220.000000,222.440247,222.440247,195859
2016-01-01,223.410004,226.910004,222.660004,226.880005,226.880005,140224
2016-02-01,227.320007,229.020004,226.000000,229.020004,229.020004,132035
2016-03-01,228.779999,230.429993,226.949997,230.199997,230.199997,130689
2016-04-01,230.240005,231.149994,227.279999,227.600006,227.600006,92054
2016-05-01,228.009995,230.190002,227.699997,229.720001,229.720001,84688
2016-06-01,230.059998,235.139999,229.539993,235.139999,235.139999,132517
2016-07-01,235.240005,236.949997,234.350006,236.839996,236.839996,170298
2016-08-01,236.880005,237.460007,235.669998,235.990005,235.990005,110853
2016-09-01,236.000000,237.330002,233.619995,236.570007,236.570007,96812
2016-10-01,235.936295,236.240005,230.839996,231.460007,231.460007,189424
