Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,119.889999,0.000000,0.000000,118.720001,118.720001,0
2011-02-01,120.010002,0.000000,0.000000,121.930000,121.930000,0
2011-03-01,120.820000,0.000000,0.000000,117.470001,117.470001,0
2011-04-01,118.430000,0.000000,0.000000,117.120003,117.120003,0
2011-05-01,116.970001,0.000000,0.000000,118.349998,118.349998,0
2011-06-01,116.330002,0.000000,0.000000,115.470001,115.470001,0
2011-07-01,116.699997,0.000000,0.000000,114.349998,114.349998,0
2011-08-01,114.940002,0.000000,0.000000,106.050003,106.050003,0
2011-09-01,106.449997,0.000000,0.000000,103.949997,103.949997,0
2011-10-01,102.290001,0.000000,0.000000,110.300003,110.300003,0
2011-11-01,108.570000,0.000000,0.000000,111.470001,111.470001,0
2011-12-01,111.379997,0.000000,0.000000,115.489998,115.489998,0
2012-01-01,115.820000,0.000000,0.000000,120.239998,120.239998,0
2012-02-01,120.870003,0.000000,0.000000,123.379997,123.379997,0
2012-03-01,124.349998,0.000000,0.000000,125.489998,125.489998,0
2012-04-01,126.830002,0.000000,0.000000,124.809998,124.809998,0
2012-05-01,125.379997,0.000000,0.000000,122.059998,122.059998,0
2012-06-01,119.519997,0.000000,0.000000,124.949997,124.949997,0
2012-07-01,126.500000,0.000000,0.000000,130.369995,130.369995,0
2012-08-01,130.320007,0.000000,0.000000,130.570007,130.570007,0
2012-09-01,130.960007,0.000000,0.000000,131.410004,131.410004,0
2012-10-01,131.740005,0.000000,0.000000,129.539993,129.539993,0
2012-11-01,130.919998,0.000000,0.000000,130.860001,130.860001,0
2012-12-01,130.080002,0.000000,0.000000,131.470001,131.470001,0
2013-01-01,133.759995,0.000000,0.000000,134.139999,134.139999,0
2013-02-01,134.020004,0.000000,0.000000,139.490005,139.490005,0
2013-03-01,140.110001,0.000000,0.000000,145.330002,145.330002,0
2013-04-01,145.440002,0.000000,0.000000,146.009995,146.009995,0
2013-05-01,144.970001,0.000000,0.000000,148.630005,148.630005,0
2013-06-01,147.919998,0.000000,0.000000,144.539993,144.539993,0
