Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,128.410004,129.539993,128.410004,129.550003,129.550003,1939131
2015-02-01,129.660004,130.470001,129.479996,130.309998,130.309998,1862340
2015-03-01,130.330002,130.660004,129.639999,130.089996,130.089996,3045073
2015-04-01,130.100006,130.660004,129.279999,129.389999,129.389999,5149281
2015-05-01,129.440002,129.440002,127.620003,128.770004,128.770004,5018590
2015-06-01,128.949997,128.949997,124.599998,125.019997,125.019997,4925287
2015-07-01,125.269997,126.779999,124.239998,126.769997,126.769997,3484969
2015-08-01,126.639999,127.089996,125.599998,125.820000,125.820000,2332168
2015-09-01,125.510002,126.089996,123.779999,124.489998,124.489998,2755866
2015-10-01,124.489998,127.070000,124.449997,126.669998,126.669998,2901489
2015-11-01,126.739998,127.550003,126.199997,127.410004,127.410004,3637568
2015-12-01,127.309998,127.739998,126.089996,126.434998,126.434998,1521334
2016-01-01,126.434998,126.930000,124.070000,126.040001,126.040001,3708014
2016-02-01,126.070000,126.599998,125.070000,126.599998,126.599998,3830314
2016-03-01,126.570000,131.649994,126.519997,128.449997,128.449997,3900766
2016-04-01,128.440002,129.190002,127.699997,128.800003,128.800003,4257777
2016-05-01,128.800003,129.300003,128.520004,129.039993,129.039993,3968727
2016-06-01,129.179993,130.529999,127.709999,130.460007,130.460007,6768183
2016-07-01,131.160004,131.990005,130.360001,131.619995,131.619995,2612336
2016-08-01,131.500000,132.330002,131.020004,131.850006,131.850006,2511484
2016-09-01,131.779999,132.270004,131.000000,131.660004,131.660004,2500093
2016-10-01,131.639999,131.710007,130.259995,130.539993,130.539993,6733776
2016-11-01,130.399994,130.619995,128.039993,129.130005,129.130005,4802499
2016-12-01,128.979996,136.360001,127.930000,130.100006,130.100006,4633120
2017-01-01,130.100006,130.240005,127.860001,128.320007,128.320007,4265298
2017-02-01,127.989998,130.039993,127.959999,129.759995,129.759995,3856342
2017-03-01,129.770004,129.770004,128.179993,129.190002,129.190002,8733010
2017-04-01,129.229996,130.289993,129.130005,129.979996,129.979996,4602416
2017-05-01,129.979996,130.649994,129.300003,130.399994,130.399994,2938606
2017-06-01,130.429993,132.699997,129.630005,129.679993,129.679993,5621319
2017-07-01,129.690002,130.000000,109.830002,129.740005,129.740005,3975242
2017-08-01,129.740005,130.600006,129.289993,130.339996,130.339996,5302538
2017-09-01,130.360001,130.690002,129.630005,130.070007,130.070007,2034056
2017-10-01,129.940002,131.699997,129.919998,131.500000,131.500000,1370386
2017-11-01,131.600006,131.899994,130.360001,131.289993,131.289993,3197281
2017-12-01,131.399994,131.850006,130.830002,130.919998,130.919998,1945608
2018-01-01,130.919998,131.399994,129.850006,129.919998,129.919998,1950072
2018-02-01,129.800003,131.220001,129.039993,129.899994,129.899994,2118468
2018-03-01,129.979996,130.110001,128.949997,129.759995,129.759995,1755026
2018-04-01,129.759995,130.309998,129.279999,129.809998,129.809998,1441226
2018-05-01,129.850006,130.000000,129.000000,129.279999,129.279999,1375368
2018-06-01,129.149994,129.979996,128.229996,129.259995,129.259995,977421
2018-07-01,129.399994,129.789993,128.789993,129.080002,129.080002,941939
2018-08-01,129.059998,129.679993,128.750000,128.979996,128.979996,1560556
2018-09-01,128.899994,128.929993,128.309998,128.649994,128.649994,1828098
2018-10-01,128.649994,128.919998,128.009995,128.250000,128.250000,2642175
2018-11-01,128.160004,128.490005,127.080002,127.510002,127.510002,1172189
2018-12-01,127.440002,127.940002,126.879997,127.760002,127.760002,834314
2019-01-01,127.760002,128.710007,127.110001,128.710007,128.710007,1158388
2019-02-01,128.699997,129.600006,128.520004,129.500000,129.500000,1758445
2019-03-01,129.330002,131.270004,129.330002,131.270004,131.270004,1510377
2019-04-01,131.050003,132.119995,131.050003,132.119995,132.119995,1989790
2019-05-01,132.059998,132.190002,131.199997,131.720001,131.720001,3392046
2019-06-01,131.860001,134.470001,131.500000,133.940002,133.940002,5120852
2019-07-01,134.160004,135.399994,133.399994,135.029999,135.029999,2471776
2019-08-01,134.820007,135.822098,134.559998,135.770004,135.770004,2483118
2019-09-01,135.860001,135.880005,134.080002,134.830002,134.830002,3418298
2019-10-01,134.830002,135.160004,134.000000,134.550003,134.550003,2230365
2019-11-01,134.600006,134.660004,133.619995,134.240005,134.240005,2990104
2019-12-01,134.110001,134.820007,133.800003,134.149994,134.149994,2096206
2020-01-01,134.149994,135.160004,133.679993,135.160004,135.160004,2919893
2020-02-01,135.360001,135.440002,133.220001,133.960007,133.960007,3809048
2020-03-01,134.589996,134.740005,114.190002,125.599998,125.599998,5133946
2020-04-01,125.830002,130.919998,124.239998,129.899994,129.899994,3200006
2020-05-01,129.309998,130.479996,128.029999,130.399994,130.399994,3325667
2020-06-01,130.630005,133.003204,130.050003,132.149994,132.149994,12580568
2020-07-01,131.830002,133.699997,131.660004,133.080002,133.080002,2588945
2020-08-01,133.979996,134.139999,133.039993,133.500000,133.500000,4972379
2020-09-01,133.360001,134.119995,132.889999,133.800003,133.800003,4885662
2020-10-01,133.929993,135.449997,133.860001,134.550003,134.550003,2439948
2020-11-01,134.720001,136.300003,134.550003,136.110001,136.110001,1354227
2020-12-01,136.380005,136.979996,135.839996,136.460007,136.460007,1405750
2021-01-01,136.460007,137.270004,135.000000,135.505005,135.505005,1621064
2021-02-01,135.500000,136.350006,134.029999,134.389999,134.389999,2211292
2021-03-01,134.509995,135.270004,134.020004,135.039993,135.039993,1742672
2021-04-01,134.889999,135.610001,134.360001,134.789993,134.789993,2057039
2021-05-01,134.789993,135.339996,133.589996,134.514999,134.514999,1479329
2021-06-01,134.520004,135.369995,134.410004,135.029999,135.029999,1470947
