Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,13.220000,13.280000,12.910000,12.910000,12.910000,48862
2011-02-01,12.980000,13.600000,12.970000,13.600000,13.600000,416484
2011-03-01,13.640000,13.650000,12.890000,13.410000,13.410000,757740
2011-04-01,13.540000,13.950000,13.240000,13.950000,13.950000,366652
2011-05-01,14.060000,14.420000,13.690000,14.420000,14.420000,486150
2011-06-01,14.460000,14.460000,13.710000,14.110000,14.110000,302929
2011-07-01,14.140000,14.360000,13.680000,13.810000,13.810000,267604
2011-08-01,14.010000,14.010000,11.120000,12.660000,12.660000,223403
2011-09-01,12.820000,13.000000,11.290000,11.676200,11.676200,810407
2011-10-01,11.560000,12.510000,11.200000,12.380000,12.380000,1176637
2011-11-01,12.270000,12.270000,10.730000,11.780000,11.780000,613828
2011-12-01,11.850000,11.900000,10.900000,11.690000,11.690000,105257
2012-01-01,11.820000,12.410000,11.370000,12.260000,12.260000,110301
2012-02-01,12.370000,12.640000,12.220000,12.360000,12.360000,180598
2012-03-01,12.410000,13.300000,12.160000,12.890000,12.890000,350911
2012-04-01,12.960000,12.960000,12.480000,12.860000,12.860000,73127
2012-05-01,13.100000,13.100000,12.480000,12.810000,12.810000,111675
2012-06-01,12.790000,13.220000,12.460000,13.220000,13.220000,87809
2012-07-01,13.250000,14.230000,13.250000,14.060000,14.060000,150529
2012-08-01,14.210000,14.520000,13.990000,14.040000,14.040000,109910
2012-09-01,14.100000,14.290000,13.950000,13.950000,13.950000,333818
2012-10-01,14.010000,14.620000,14.010000,14.580000,14.580000,38085
2012-11-01,14.630000,14.760000,14.030000,14.740000,14.740000,84363
2012-12-01,14.860000,15.140000,14.670000,14.966500,14.966500,62117
2013-01-01,15.240000,15.280000,14.580000,14.580000,14.580000,92225
2013-02-01,14.690000,15.020000,14.480000,14.880000,14.880000,142207
2013-03-01,14.950000,15.200000,14.740000,14.960000,14.960000,67268
2013-04-01,15.060000,15.890000,14.730000,15.820000,15.820000,88199
2013-05-01,15.840000,17.030001,15.830000,15.950000,15.950000,310988
2013-06-01,15.990000,16.059999,14.430000,15.030000,15.030000,128060
2013-07-01,15.210000,15.960000,14.910000,15.660000,15.660000,62309
2013-08-01,15.760000,15.990000,15.120000,15.120000,15.120000,28894
